NORMALS 1971-2000               YRS    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC    ANN
23272SAN FRANCISCO C.O., CA           30   52.3   55.0   55.9   57.3   58.4   60.5   61.3   62.4   63.7   62.5   57.5   52.7   58.3
23190SANTA BARBARA, CA                30   53.1   55.2   56.7   58.9   60.9   64.2   67.0   68.6   67.4   63.5   57.5   53.2   60.5
23273SANTA MARIA, CA                  30   51.6   53.1   53.8   55.5   57.8   60.9   63.5   64.2   63.9   61.1   55.5   51.6   57.7
23237STOCKTON, CA                     30   46.0   51.1   54.9   60.0   66.7   73.2   77.3   76.5   72.8   64.6   53.1   45.3   61.8
23061ALAMOSA, CO                      30   14.7   22.5   32.7   40.8   50.4   59.4   64.1   62.1   54.5   42.8   28.4   17.1   40.8
93037COLORADO SPRINGS, CO             30   28.1   31.7   37.8   45.3   54.6   64.4   69.6   67.6   59.8   48.9   36.2   29.0   47.8
03017DENVER, CO                       30   29.2   33.2   39.6   47.6   57.2   67.6   73.4   71.7   62.4   51.0   37.5   30.3   50.1
03076GRAND JUNCTION, CO               30   26.1   34.1   43.4   50.9   60.5   71.1   76.8   74.7   65.4   52.7   38.1   28.2   51.8
93058PUEBLO, CO                       30   29.3   34.6   41.8   49.9   59.7   69.8   75.4   73.5   64.8   52.4   38.4   30.3   51.7
94702BRIDGEPORT, CT                   30   29.9   31.9   39.5   48.9   59.0   68.0   74.0   73.1   65.7   54.7   45.1   35.1   52.1
14752HARTFORD, CT                     30   25.7   28.8   38.0   48.9   59.9   68.5   73.7   71.6   63.2   51.9   41.8   30.8   50.2
13781WILMINGTON, DE                   30   31.5   34.2   42.7   52.4   62.5   71.5   76.6   75.0   67.7   55.8   45.9   36.4   54.4
93738WASHINGTON DULLES AP, D.C.       30   31.7   34.8   43.4   53.1   62.3   70.9   75.7   74.4   67.3   55.0   45.2   36.0   54.2
13743WASHINGTON NAT'L AP, D.C.        30   34.9   38.1   46.5   56.1   65.6   74.5   79.2   77.4   70.5   58.8   48.7   39.5   57.5
12832APALACHICOLA, FL                 30   52.7   55.3   60.7   66.8   74.1   80.0   81.9   81.7   79.1   70.2   62.0   55.2   68.3
12834DAYTONA BEACH, FL                30   58.4   60.0   64.7   68.9   74.8   79.7   81.7   81.5   79.9   74.0   67.0   60.8   71.0
12835FORT MYERS, FL                   30   64.9   66.0   69.9   73.6   78.8   82.2   83.0   83.1   82.1   77.5   71.7   66.4   74.9
12816GAINESVILLE, FL                  30   54.3   57.0   62.5   67.6   74.3   79.2   80.9   80.4   77.8   70.1   62.8   56.3   68.6
63823JACKSONVILLE, FL                 30   53.1   55.8   61.6   66.6   73.4   79.1   81.6   80.8   77.8   69.4   61.7   55.0   68.0
12850KEY WEST, FL                     30   70.3   70.8   73.8   77.0   80.7   83.4   84.5   84.4   83.4   80.2   76.3   72.0   78.1
12839MIAMI, FL                        30   68.1   69.1   72.4   75.7   79.6   82.4   83.7   83.6   82.4   78.8   74.4   69.9   76.7
12841ORLANDO, FL                      30   60.9   62.6   67.4   71.5   77.1   81.2   82.4   82.5   81.1   75.3   68.8   63.0   72.8
03855PENSACOLA, FL                    30   52.0   54.9   61.0   66.9   74.6   80.6   82.6   82.2   78.7   69.5   60.7   54.1   68.2
93805TALLAHASSEE, FL                  30   51.8   54.8   61.1   66.4   74.4   80.4   82.4   82.1   78.9   69.1   60.4   53.7   68.0
12842TAMPA, FL                        30   61.3   62.7   67.4   71.5   77.6   81.5   82.5   82.7   81.6   75.8   69.3   63.3   73.1
12843VERO BEACH, FL                   30   63.0   63.9   67.7   71.5   76.2   80.4   81.7   81.6   80.7   76.4   70.5   64.7   73.2
12844WEST PALM BEACH, FL              30   66.2   67.2   70.6   73.8   78.2   81.2   82.5   82.8   81.7   78.1   73.1   68.3   75.3
13873ATHENS, GA                       30   42.2   46.0   53.5   60.9   69.1   76.3   79.8   78.4   72.6   61.8   52.7   44.8   61.5
13874ATLANTA, GA                      30   42.7   46.7   54.3   61.6   69.8   76.8   80.0   78.9   73.3   62.8   53.4   45.4   62.1
13837AUGUSTA,GA                       30   44.8   48.4   55.9   62.4   70.5   77.5   80.8   79.3   73.8   63.1   54.4   46.9   63.2
93842COLUMBUS, GA                     30   46.8   50.3   57.6   64.2   72.3   79.2   82.0   81.3   76.2   65.8   56.7   49.1   65.1
03813MACON, GA                        30   45.5   48.9   56.2   62.7   71.0   78.0   81.1   80.0   74.5   63.9   55.1   47.8   63.7
03822SAVANNAH, GA                     30   49.2   52.5   59.3   65.3   72.8   78.8   82.1   80.8   76.7   67.1   58.7   51.4   66.2
21515HILO, HI                         30   71.4   71.5   72.0   72.5   73.7   75.1   75.9   76.3   76.2   75.6   74.0   72.2   73.9
22521HONOLULU,HI                      30   73.0   73.0   74.3   75.6   77.2   79.5   80.8   81.8   81.5   80.2   77.7   74.8   77.5
22516KAHULUI, HI                      30   71.8   71.9   73.1   74.2   75.7   77.6   78.8   79.5   79.1   78.1   76.0   73.4   75.8
22536LIHUE, HI                        30   71.7   71.7   72.7   73.9   75.4   77.7   79.0   79.7   79.5   78.2   75.9   73.3   75.7
24131BOISE, ID                        30   30.2   36.7   43.8   50.6   58.6   67.2   74.7   73.9   64.2   52.8   39.9   30.6   51.9
24149LEWISTON, ID                     30   33.7   38.4   44.7   51.1   58.5   65.8   73.5   73.4   63.8   51.6   40.4   33.9   52.4
24156POCATELLO, ID                    30   24.4   30.0   37.9   45.6   53.5   62.0   69.2   68.4   58.8   47.7   34.7   25.3   46.5
94846CHICAGO,IL                       30   22.0   27.0   37.3   47.8   58.7   68.2   73.3   71.7   63.8   52.1   39.3   27.4   49.1
14923MOLINE, IL                       30   21.1   26.9   38.7   50.5   61.7   71.2   75.3   73.2   65.0   53.0   39.1   26.4   50.2
14842PEORIA, IL                       30   22.5   28.2   39.8   51.2   61.9   71.1   75.1   73.1   65.4   53.4   40.1   27.8   50.8
94822ROCKFORD, IL                     30   19.0   24.7   36.1   47.9   59.6   68.8   72.9   70.9   62.8   51.0   37.2   24.4   47.9
93822SPRINGFIELD, IL                  30   25.1   30.6   41.8   52.8   63.6   72.6   76.3   74.2   67.0   55.5   42.3   30.3   52.7
93817EVANSVILLE, IN                   30   31.0   35.8   45.8   55.5   65.6   74.8   78.6   76.5   69.1   57.3   45.9   35.6   56.0
14827FORT WAYNE, IN                   30   23.6   27.3   38.1   49.0   60.4   69.7   73.4   71.1   64.1   52.4   40.6   29.0   49.9
53842INDIANAPOLIS, IN                 30   26.5   31.2   41.7   52.0   62.6   71.7   75.4   73.5   66.3   54.6   42.9   31.6   52.5
14848SOUTH BEND, IN                   30   23.4   27.3   37.5   48.3   59.6   69.0   73.0   71.0   63.4   52.1   40.1   28.7   49.5
54902DES MOINES, IA                   30   20.4   26.6   38.4   50.6   61.9   71.4   76.1   73.9   65.1   52.8   37.9   24.9   50.0
94908DUBUQUE,IA                       30   17.0   23.1   34.8   47.5   59.1   68.3   72.3   70.0   61.8   50.4   35.7   22.5   46.9
14943SIOUX CITY, IA                   30   18.6   25.1   36.5   49.5   61.2   70.5   74.6   72.1   63.1   50.8   34.8   22.3   48.3
94910WATERLOO, IA                     30   16.1   22.6   35.0   47.8   60.2   69.9   73.6   71.2   62.6   50.2   35.1   21.6   47.2
13984CONCORDIA, KS                    30   26.6   32.4   42.5   52.8   63.0   73.4   79.1   77.0   68.0   56.0   40.8   30.2   53.5
13985DODGE CITY, KS                   30   30.1   36.0   44.3   53.9   63.8   74.3   79.8   78.2   69.3   57.1   42.4   33.1   55.2
23065GOODLAND, KS                     30   27.6   32.4   39.8   48.8   58.7   69.6   75.1   73.2   64.0   51.8   37.4   29.6   50.7
13996TOPEKA, KS                       30   27.2   33.4   44.2   54.5   64.4   73.9   78.4   76.7   68.1   56.6   42.6   31.4   54.3
03923WICHITA, KS                      30   30.2   36.3   45.9   55.3   65.0   75.5   81.0   79.8   70.8   58.6   44.2   33.6   56.4
93812GREATER CINCINNATI AP            30   29.7   34.1   43.9   53.7   63.7   72.0   76.3   74.5   67.4   55.7   44.7   34.6   54.2
03889JACKSON, KY                      30   33.9   37.9   47.1   56.3   64.1   71.4   75.0   73.8   67.9   57.5   47.7   38.3   55.9
93820LEXINGTON, KY                    30   32.0   36.4   45.6   54.6   63.8   72.2   76.1   74.8   68.0   56.6   45.9   36.3   55.2
13810LOUISVILLE, KY                   30   33.0   37.6   46.9   56.4   65.8   74.2   78.4   77.0   70.1   58.5   47.6   37.6   56.9
03816PADUCAH KY                       30   32.9   38.1   47.6   57.0   65.9   74.5   78.2   76.2   69.1   58.0   46.8   36.9   56.8
13970BATON ROUGE, LA                  30   50.1   53.5   60.3   66.6   74.0   79.7   81.7   81.4   77.5   68.1   59.0   52.4   67.0
03937LAKE CHARLES, LA                 30   50.9   54.4   61.0   67.3   74.9   80.5   82.6   82.4   78.4   69.5   60.1   53.3   67.9
12916NEW ORLEANS, LA                  30   52.6   55.7   62.4   68.2   75.6   80.7   82.7   82.5   78.9   70.0   61.4   55.1   68.8
53905SHREVEPORT, LA                   30   46.4   51.2   58.5   65.2   73.0   79.9   83.4   82.9   77.0   66.7   56.1   48.4   65.7
14607CARIBOU, ME                      30    9.5   13.0   24.6   38.1   51.6   60.8   65.6   63.4   53.8   42.8   30.6   16.4   39.2
14764PORTLAND, ME                     30   21.7   24.8   33.7   43.7   53.8   62.9   68.7   67.2   58.7   47.7   38.3   27.6   45.7
93744BALTIMORE, MD                    30   32.3   35.5   43.7   53.2   62.9   71.8   76.5   74.5   67.4   55.4   45.5   36.7   54.6
14753BLUE HILL, MA                    30   26.0   28.3   36.3   46.3   57.0   65.7   71.6   69.9   62.1   51.6   41.8   31.2   49.0
14739BOSTON, MA                       30   29.3   31.5   38.9   48.3   58.5   68.0   73.9   72.3   64.7   54.1   44.9   34.8   51.6
94746WORCESTER, MA                    30   23.6   26.0   34.3   45.0   56.3   64.7   70.1   68.3   60.2   49.6   39.6   28.9   47.2
94849ALPENA, MI                       30   17.8   19.0   28.0   40.3   52.2   61.3   66.7   64.5   56.3   45.6   34.6   24.0   42.5
14822DETROIT, MI                      30   24.5   27.2   36.9   48.1   59.8   69.0   73.5   71.8   63.9   51.9   40.7   29.6   49.7
14826FLINT, MI                        30   21.3   23.8   33.7   45.4   57.1   66.2   70.6   68.5   60.7   49.2   38.1   26.7   46.8
94860GRAND RAPIDS, MI                 30   22.4   25.0   34.6   46.3   58.1   67.1   71.4   69.4   61.3   49.9   38.4   27.6   47.6
94814HOUGHTON LAKE, MI                30   17.8   19.9   29.3   41.8   53.9   62.2   66.7   64.6   56.8   46.1   34.8   23.7   43.1
14836LANSING, MI                      30   21.6   24.0   33.9   45.5   57.1   66.2   70.3   68.4   60.5   49.2   38.0   26.9   46.8
94836MARQUETTE, MI                    30   11.5   14.8   23.7   36.4   50.3   59.3   64.4   62.3   53.5   42.5   28.9   17.2   38.7
14840MUSKEGON, MI                     30   23.5   25.4   34.0   44.9   56.1   64.9   69.9   68.5   60.5   49.7   38.7   28.6   47.1
14847SAULT STE. MARIE, MI             30   13.2   15.6   24.9   38.4   51.3   58.6   63.9   63.3   54.8   44.4   32.4   20.2   40.1
04919DULUTH, MN                       30    8.4   14.8   25.4   39.0   51.8   59.9   65.5   63.7   54.7   43.5   28.0   14.0   39.1
14918INTERNATIONAL FALLS, MN          30    2.7   10.9   23.6   39.3   53.3   61.6   66.1   63.8   53.2   41.6   24.4    8.5   37.4
14922MINNEAPOLIS-ST.PAUL, MN          30   13.1   20.1   32.1   46.6   59.3   68.4   73.2   70.6   61.0   48.7   32.5   18.7   45.4
14925ROCHESTER, MN                    30   11.8   18.4   30.6   44.7   56.9   66.1   70.1   67.7   58.9   47.0   31.2   17.3   43.4
14926SAINT CLOUD, MN                  30    8.8   16.1   28.4   43.6   56.6   65.1   69.8   67.2   57.4   45.3   28.8   14.4   41.8
13927JACKSON, MS                      30   45.0   49.2   56.8   63.4   71.5   78.5   81.4   80.9   75.5   64.4   54.8   47.6   64.1
53849MERIDIAN, MS                     30   46.1   50.2   57.3   63.8   71.7   78.5   81.7   81.4   76.1   64.8   55.7   48.9   64.7
93862TUPELO, MS                       30   40.4   44.8   53.1   60.9   69.4   76.9   80.6   79.6   73.3   61.9   51.5   43.4   61.3
03945COLUMBIA, MO                     30   27.8   33.7   44.0   54.4   63.7   72.7   77.4   75.7   67.3   56.0   43.2   32.0   54.0
13988KANSAS CITY, MO                  30   26.9   33.0   43.8   54.4   64.3   73.6   78.5   76.6   68.1   56.8   42.7   31.3   54.2
13994ST. LOUIS, MO                    30   29.6   35.4   45.8   56.6   66.5   75.6   80.2   78.2   70.2   58.3   45.3   33.9   56.3
13995SPRINGFIELD, MO                  30   31.7   37.1   46.3   55.6   64.7   73.4   78.5   77.6   69.3   58.4   45.9   35.7   56.2
24033BILLINGS, MT                     30   24.0   29.8   37.0   46.1   55.7   65.2   72.0   70.9   59.5   48.1   34.1   26.1   47.4
94008GLASGOW, MT                      30   10.8   19.1   30.9   44.5   55.5   64.4   70.2   69.5   57.3   45.0   27.9   15.6   42.6
24143GREAT FALLS, MT                  30   21.7   26.4   33.4   42.6   51.5   60.0   66.2   65.6   55.4   45.5   32.3   24.3   43.7
94012HAVRE, MT                        30   14.6   21.9   32.5   44.3   54.5   62.7   68.3   67.6   56.3   44.6   29.1   19.0   43.0
24144HELENA, MT                       30   20.2   26.4   35.1   44.1   52.9   61.2   67.8   66.7   56.1   44.8   30.9   21.4   44.0
24146KALISPELL, MT                    30   21.4   26.8   34.9   43.4   51.3   57.7   63.5   63.2   53.1   41.9   30.9   23.1   42.6
24153MISSOULA, MT                     30   23.5   29.0   37.6   45.2   52.7   60.2   66.9   66.3   56.1   44.4   32.0   23.4   44.8
14935GRAND ISLAND, NE                 30   22.4   28.2   38.3   49.9   60.6   71.1   75.8   73.6   64.4   52.0   36.4   25.6   49.9
94996LINCOLN, NE                      30   22.4   28.3   39.4   51.2   62.0   72.7   77.8   75.4   66.0   53.5   38.1   26.5   51.1
14941NORFOLK, NE                      30   20.4   26.4   37.0   49.1   60.3   70.1   74.8   72.7   63.4   51.0   35.1   23.7   48.7
24023NORTH PLATTE, NE                 30   23.2   29.4   38.0   48.1   58.3   68.4   74.3   72.6   62.4   49.7   34.6   25.7   48.7
14942OMAHA EPPLEY AP, NE              30   21.7   28.0   39.3   51.4   62.2   72.2   76.7   74.5   65.4   53.2   38.0   25.6   50.7
94918OMAHA (NORTH), NE                30   22.4   28.5   39.8   52.0   62.3   71.5   75.6   74.0   65.7   53.9   38.4   26.2   50.9
24028SCOTTSBLUFF, NE                  30   24.5   30.0   37.3   46.2   56.8   67.2   73.0   70.9   60.5   47.8   34.0   25.7   47.8
24032VALENTINE, NE                    30   20.8   26.6   35.3   46.1   57.5   67.6   73.7   72.1   61.5   48.3   33.0   23.6   47.2
24121ELKO, NV                         30   25.6   31.3   38.6   44.6   52.7   61.7   69.1   67.6   58.2   46.7   34.5   26.0   46.4
23154ELY, NV                          30   25.2   29.8   35.9   42.2   50.4   59.9   67.4   65.8   56.7   45.4   33.5   25.8   44.8
53127LAS VEGAS, NV                    30   47.0   52.2   58.3   66.0   75.4   85.6   91.2   89.3   81.3   68.7   55.0   47.0   68.1
23185RENO, NV                         30   33.6   38.5   43.3   48.6   56.4   64.7   71.3   69.9   62.4   52.0   40.9   33.6   51.3
24128WINNEMUCCA, NV                   30   30.1   36.1   41.1   46.7   55.2   64.3   72.0   69.9   60.3   48.8   37.4   29.6   49.3
14745CONCORD, NH                      30   20.1   23.3   33.3   44.6   56.0   64.9   70.0   68.2   59.4   47.8   37.6   25.9   45.9
14755MT. WASHINGTON, NH               30    5.2    6.6   13.6   22.9   35.6   44.4   48.7   47.6   40.4   30.2   20.6   10.1   27.2
93730ATLANTIC CITY AP, NJ             30   32.1   34.2   41.8   50.6   60.5   69.7   75.3   73.5   66.3   55.1   45.9   36.8   53.5
13724ATLANTIC CITY C.O.,NJ            30   35.2   36.9   43.3   51.4   60.5   69.4   75.2   74.8   68.9   58.5   49.0   40.2   55.3
14734NEWARK, NJ                       30   31.3   33.8   42.2   52.3   62.7   71.9   77.2   75.5   67.8   56.4   46.4   36.4   54.5
23050ALBUQUERQUE, NM                  30   35.7   41.4   48.1   55.6   64.7   74.8   78.5   76.1   69.1   57.3   44.4   36.1   56.8
23051CLAYTON, NM                      30   33.9   37.6   43.7   51.7   60.5   69.9   73.8   72.2   64.7   54.6   42.2   34.8   53.3
23009ROSWELL, NM                      30   40.0   45.7   52.9   60.5   69.6   78.0   80.8   78.9   72.0   61.4   48.9   40.7   60.8
14735ALBANY, NY                       30   22.2   25.0   35.0   46.6   58.1   66.3   71.1   69.0   60.6   49.3   39.2   28.0   47.5
04725BINGHAMTON, NY                   30   21.7   23.8   32.7   44.1   55.9   63.9   68.7   66.6   58.8   48.1   37.6   27.1   45.8
14733BUFFALO, NY                      30   24.5   25.9   34.3   45.3   57.0   65.8   70.8   69.1   61.5   50.7   40.2   29.8   47.9
04781ISLIP, NY                        30   30.9   32.4   39.8   49.1   59.2   68.5   74.6   73.1   65.8   54.3   44.9   35.7   52.4
94728NEW YORK C.PARK, NY              30   32.1   34.6   42.5   52.5   62.6   71.2   76.5   75.1   67.5   56.6   47.1   37.3   54.6
94789NEW YORK (JFK AP), NY            30   31.8   33.5   40.9   50.1   59.7   68.8   74.8   74.1   67.2   56.5   46.8   37.2   53.5
14732NEW YORK (LAGUARDIA AP), NY      30   32.6   34.8   42.3   52.2   62.4   71.5   77.1   75.9   68.6   57.7   47.6   37.9   55.1
14768ROCHESTER, NY                    30   23.9   25.3   33.9   45.3   57.0   65.8   70.7   68.9   61.2   50.4   39.9   29.4   47.6
14771SYRACUSE, NY                     30   22.7   24.5   33.6   45.3   57.1   65.8   70.9   69.2   61.3   50.1   39.7   28.6   47.4
53877ASHEVILLE, NC                    30   35.8   39.0   46.3   54.1   62.0   69.2   73.0   71.8   65.7   55.2   46.4   39.0   54.8
93729CAPE HATTERAS, NC                30   46.1   46.8   52.4   59.8   67.6   74.8   79.2   78.6   74.8   65.7   57.6   50.0   62.8
13881CHARLOTTE, NC                    30   41.7   45.2   52.8   60.9   69.0   76.5   80.3   78.9   72.7   61.7   52.3   44.4   61.4
13723GREENSBORO-WNSTN-SALM-HGHPT,NC   30   37.7   41.2   49.1   57.6   65.8   73.6   77.9   76.2   69.8   58.5   49.2   41.0   58.1
13722RALEIGH, NC                      30   39.7   43.0   50.7   59.1   67.0   74.7   78.8   77.2   71.2   60.0   51.0   43.0   59.6
13748WILMINGTON, NC                   30   46.1   48.5   55.0   62.7   70.2   77.0   81.1   79.7   75.0   64.8   56.5   48.9   63.8
24011BISMARCK, ND                     30   10.2   18.1   29.7   43.3   56.0   64.7   70.4   69.0   57.7   45.2   28.0   15.2   42.3
14914FARGO, ND                        30    6.8   14.1   27.2   43.5   57.4   66.0   70.6   69.0   58.0   45.3   27.0   12.5   41.5
94925GRAND FORKS, ND                  30    5.3   13.1   25.7   42.3   56.8   65.2   69.4   67.8   57.0   44.3   25.8   11.3   40.3
94014WILLISTON, ND                    30    8.0   16.8   28.7   42.5   54.6   63.7   69.3   68.3   56.1   43.6   25.6   13.0   40.9
14895AKRON, OH                        30   25.2   28.3   37.7   48.1   58.8   67.5   71.8   70.3   63.0   51.6   41.1   30.7   49.5
14820CLEVELAND, OH                    30   25.7   28.4   37.5   47.6   58.5   67.5   71.9   70.2   63.3   52.2   41.8   31.1   49.6
63825COLUMBUS, OH                     30   28.3   32.0   42.0   52.0   62.6   71.2   75.1   73.5   66.5   54.7   43.7   33.5   52.9
93815DAYTON, OH                       30   26.3   30.3   40.2   50.6   61.2   70.2   74.3   72.3   65.1   53.5   42.2   31.4   51.5
14891MANSFIELD, OH                    30   24.3   27.3   36.7   47.2   58.0   66.8   71.0   69.3   62.6   51.5   40.5   29.6   48.7
94830TOLEDO, OH                       30   23.9   27.0   37.2   48.3   59.6   68.8   73.0   70.8   63.5   51.8   40.5   29.2   49.5
14852YOUNGSTOWN, OH                   30   24.9   27.7   36.7   47.4   57.6   65.9   69.9   68.4   61.5   50.8   40.7   30.4   48.5
13919OKLAHOMA CITY, OK                30   36.7   42.3   51.0   59.7   68.4   76.8   82.0   81.2   73.2   62.0   48.9   39.5   60.1
53908TULSA, OK                        30   36.4   42.0   51.4   60.8   69.3   78.0   83.5   82.2   73.5   62.6   49.7   39.7   60.8
