NORMALS 1971-2000               YRS    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC    ANN
23272SAN FRANCISCO C.O., CA           30   46.4   48.5   49.2   50.1   51.4   53.2   54.4   55.6   56.1   54.6   50.8   46.7   51.4
23190SANTA BARBARA, CA                30   40.8   44.0   46.0   47.6   50.5   53.9   57.3   58.4   56.6   51.6   44.0   39.9   49.2
23273SANTA MARIA, CA                  30   39.3   41.4   42.7   43.4   46.9   50.4   53.5   54.2   52.9   48.2   41.8   38.2   46.1
23237STOCKTON, CA                     30   38.1   41.0   43.6   46.7   52.1   57.5   60.8   60.3   57.4   50.5   42.1   36.7   48.9
23061ALAMOSA, CO                      30   -3.7    4.7   15.8   22.8   32.4   40.4   46.4   45.2   36.5   23.9   11.1   -0.7   22.9
93037COLORADO SPRINGS, CO             30   14.5   18.0   23.9   31.4   40.7   49.5   54.8   53.6   45.4   34.3   22.6   15.6   33.7
03017DENVER, CO                       30   15.2   19.1   25.4   34.2   43.8   53.0   58.7   57.4   47.3   35.9   23.5   16.4   35.8
03076GRAND JUNCTION, CO               30   15.6   22.7   31.0   37.5   46.4   55.3   61.4   59.7   50.4   38.6   26.3   17.5   38.5
93058PUEBLO, CO                       30   14.0   18.8   26.3   34.5   44.8   53.5   59.4   58.1   48.7   35.3   22.5   15.1   35.9
94702BRIDGEPORT, CT                   30   22.9   24.9   32.0   40.7   50.6   59.6   66.0   65.4   57.7   46.3   37.5   28.0   44.3
14752HARTFORD, CT                     30   17.2   19.9   28.3   37.9   48.1   57.0   62.4   60.7   52.1   40.6   32.6   22.6   40.0
13781WILMINGTON, DE                   30   23.7   25.8   33.4   42.1   52.4   61.8   67.3   65.8   58.1   45.6   36.9   28.4   45.1
93738WASHINGTON DULLES AP, D.C.       30   21.9   24.1   31.8   40.2   49.9   59.0   64.0   62.8   55.6   42.3   33.8   26.0   42.6
13743WASHINGTON NAT'L AP, D.C.        30   27.3   29.7   37.3   45.9   55.8   65.0   70.1   68.6   61.8   49.6   40.0   32.0   48.6
12832APALACHICOLA, FL                 30   43.0   45.8   51.4   57.6   65.1   71.6   73.9   74.0   71.2   60.5   52.0   45.3   59.3
12834DAYTONA BEACH, FL                30   47.1   48.8   53.7   58.0   64.5   70.6   72.4   72.8   71.9   65.3   57.0   50.1   61.0
12835FORT MYERS, FL                   30   54.5   55.4   59.3   62.7   68.4   73.1   74.2   74.4   73.9   68.6   62.1   56.2   65.2
12816GAINESVILLE, FL                  30   42.4   44.7   49.9   54.7   62.0   68.4   70.8   70.6   68.1   59.2   51.1   44.4   57.2
63823JACKSONVILLE, FL                 30   41.9   44.3   49.8   54.6   62.5   69.4   72.4   72.2   69.4   59.7   50.8   44.1   57.6
12850KEY WEST, FL                     30   65.2   65.7   68.8   72.1   75.9   78.7   79.6   79.2   78.5   75.7   71.9   67.3   73.2
12839MIAMI, FL                        30   59.6   60.5   64.0   67.6   72.0   75.2   76.5   76.5   75.7   72.2   67.5   62.2   69.1
12841ORLANDO, FL                      30   49.9   51.3   55.9   59.9   65.9   71.3   72.6   73.0   71.9   65.5   58.7   52.6   62.4
03855PENSACOLA, FL                    30   42.7   45.4   51.7   57.6   65.8   72.1   74.5   74.2   70.4   59.6   51.1   44.7   59.2
93805TALLAHASSEE, FL                  30   39.7   42.1   48.2   52.8   62.3   69.8   72.7   72.7   69.2   56.9   47.9   41.6   56.3
12842TAMPA, FL                        30   52.4   53.8   58.5   62.4   68.9   74.0   75.3   75.4   74.3   67.6   60.7   54.7   64.8
12843VERO BEACH, FL                   30   52.7   53.6   57.8   61.6   67.2   71.8   73.0   72.9   72.7   68.5   61.9   54.7   64.0
12844WEST PALM BEACH, FL              30   57.3   58.2   61.9   65.4   70.5   73.8   75.0   75.4   74.7   71.2   65.8   60.1   67.4
13873ATHENS, GA                       30   32.9   35.4   42.3   48.7   57.6   65.3   69.3   68.5   62.7   50.7   42.2   35.3   50.9
13874ATLANTA, GA                      30   33.5   36.5   43.6   50.4   59.5   67.1   70.6   69.9   64.3   52.8   43.5   36.2   52.3
13837AUGUSTA,GA                       30   33.1   35.5   42.5   48.1   57.2   65.4   69.6   68.4   62.4   49.6   40.9   34.7   50.6
93842COLUMBUS, GA                     30   36.6   39.0   45.7   51.8   61.3   68.8   72.3   71.5   66.4   54.5   45.7   39.0   54.4
03813MACON, GA                        30   34.5   37.0   43.8   49.5   58.6   66.6   70.5   69.5   63.7   51.1   42.5   36.3   52.0
03822SAVANNAH, GA                     30   38.0   40.9   47.5   52.9   61.3   68.1   71.8   71.3   67.3   56.1   46.9   40.1   55.2
21515HILO, HI                         30   63.6   63.5   64.7   65.6   66.7   68.0   69.2   69.4   69.0   68.5   67.2   64.9   66.7
22521HONOLULU,HI                      30   65.7   65.4   66.9   68.2   69.6   72.1   73.8   74.7   74.2   73.2   71.1   67.8   70.2
22516KAHULUI, HI                      30   63.3   63.1   64.6   66.0   67.0   69.3   70.8   71.0   70.0   69.4   67.9   65.1   67.3
22536LIHUE, HI                        30   65.4   65.5   67.3   68.9   70.3   72.7   74.0   74.5   74.0   72.8   70.8   67.6   70.3
24131BOISE, ID                        30   23.6   28.8   34.0   39.4   46.6   54.2   60.3   59.8   51.2   41.3   32.4   24.1   41.3
24149LEWISTON, ID                     30   28.0   31.2   35.6   40.6   47.0   53.6   59.3   59.3   50.9   41.2   34.1   28.5   42.4
24156POCATELLO, ID                    30   16.3   20.9   27.3   32.6   39.2   45.7   50.9   49.9   41.8   33.3   24.9   16.8   33.3
94846CHICAGO,IL                       30   14.3   19.2   28.5   37.6   47.5   57.2   63.2   62.2   53.7   42.1   31.6   20.4   39.8
14923MOLINE, IL                       30   12.3   18.2   29.0   39.3   50.0   59.7   64.5   62.4   53.4   41.6   30.1   18.3   39.9
14842PEORIA, IL                       30   14.3   19.7   30.2   40.3   50.8   60.1   64.6   62.6   54.0   42.3   31.4   20.1   40.9
94822ROCKFORD, IL                     30   10.8   16.3   26.7   36.8   47.9   57.6   62.6   60.9   51.8   40.1   29.0   16.9   38.1
93822SPRINGFIELD, IL                  30   17.1   22.2   32.4   42.2   52.7   61.9   66.0   63.9   55.4   44.4   33.7   22.6   42.9
93817EVANSVILLE, IN                   30   22.6   26.2   35.2   43.8   54.0   63.5   67.8   65.1   57.0   44.6   36.0   27.0   45.2
14827FORT WAYNE, IN                   30   16.1   19.2   28.8   38.2   49.1   58.8   62.5   60.4   52.8   41.8   32.7   22.3   40.2
53842INDIANAPOLIS, IN                 30   18.5   22.5   32.0   41.2   51.8   61.3   65.2   63.3   55.2   43.6   34.1   24.0   42.7
